ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,regiao_prof,ugf,LAT,LON
2012,DM31232,Florestal,Viana do Castelo,Arcos de Valdevez,Senharei,GONDELHOS (Gondião),160144,171814,544584,2012-01-30,14:56:00,2012-01-30,16:39:00,2012-01-30,15:00:00,Outros,PT11010144,0.5,0.0,0.0,0.5,0.5,0,0,0,1,0,0,,,,,Entre Douro e Minho,Alto Minho,41.8926895,-8.4711589
2012,DM21251,Florestal,Porto,Paços de Ferreira,Ferreira,MATA (SANFINS DE FERREIRA),130905,180072,483814,2012-01-31,19:10:00,2012-01-31,20:05:00,2012-01-31,19:15:00,Populares,PT11051105,0.0,0.03,0.0,0.03,0.03,0,0,0,1,0,0,,,,,Entre Douro e Minho,Tâmega,41.3266496,-8.3721821
2012,BL312182,Florestal,Aveiro,Águeda,Travassô,Junto da Rotunda do Milenio (MACINHATA DO VOUGA),10117,172761,409514,2012-02-15,16:57:00,2012-02-15,18:17:00,2012-02-15,17:05:00,Outros,PT12010117,0.26,0.0,0.0,0.26,0.26,0,0,0,1,0,0,,,6.0,Desconhecida,Beira Litoral,Centro Litoral,40.5995213,-8.5130173
2012,DM412251,Florestal,Braga,Guimarães,Santa Leocádia (Briteiros),AREDES- M3 (Aredes),30843,182588,506993,2012-02-19,00:45:00,2012-02-19,02:35:00,2012-02-19,01:00:00,Outros,PT11030243,0.0,0.02,0.0,0.02,0.02,0,0,0,1,0,0,,,630.0,Desconhecida,Entre Douro e Minho,Baixo Minho,41.5314872,-8.3409083
2012,RO2121154,Florestal,Lisboa,Azambuja,Alcoentre,Quebradas,110301,129783,252027,2012-06-27,15:53:00,2012-06-27,18:25:00,2012-06-27,16:13:00,Outros,PT13050301,0.05,0.0,0.0,0.05,0.05,0,0,0,1,0,0,,,630.0,Desconhecida,Ribatejo e Oeste,Ribatejo,39.2409032,-8.9427404
2012,RO112591,Florestal,Santarém,Rio Maior,Asseiceira,Asseiceira,141410,129402,258200,2012-06-28,06:04:00,2012-06-28,07:11:00,2012-06-28,06:10:00,Populares,PT13050910,0.0,0.027,0.0,0.027,0.027,0,0,0,1,0,0,,,610.0,Desconhecida,Ribatejo e Oeste,Ribatejo,39.2959967,-8.9166269
2012,DM2122293,Florestal,Porto,Vila do Conde,Rio Mau,RUA PADRE JOSÉ DA FONTE,131622,154200,492599,2012-06-27,23:15:00,2012-06-28,01:15:00,2012-06-27,23:29:00,Populares,PT11040822,0.05,0.0,0.0,0.05,0.05,1,0,0,1,0,0,,,711.0,Reacendimento,Entre Douro e Minho,AMP e Entre Douro e Vouga,41.399467,-8.685463
2012,RO2121164,Florestal,Lisboa,Azambuja,Alcoentre,Vale Judeus,110301,128143,252551,2012-06-28,14:38:00,2012-06-28,16:10:00,2012-06-28,14:52:00,Outros,PT13050301,0.01,0.0,0.0,0.01,0.01,0,0,0,1,0,0,,,630.0,Desconhecida,Ribatejo e Oeste,Ribatejo,39.2348833,-8.964874614233242
2012,AG112396,Florestal,Faro,Loulé,Boliqueime,BOLIQUEIME,80804,197900,18899,2012-06-28,17:47:00,2012-06-28,19:33:00,2012-06-28,18:00:00,Outros,PT15010804,0.0,0.04,0.0,0.04,0.04,0,0,0,1,0,0,,,,,Algarve,Algarve,37.122748,-8.1526919
2012,AG112397,Florestal,Faro,Silves,Alcantarilha,Alcantarilha,81301,180499,22699,2012-06-29,00:14:00,2012-06-29,01:05:00,2012-06-29,00:32:00,Outros,PT15011301,0.0,0.02,0.0,0.02,0.02,0,0,0,1,0,0,,,,,Algarve,Algarve,37.130069,-8.34712076288514
