ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,LAT,LON
2008,RO2081965,Florestal,Lisboa,Loures,Loures,BARRO (Barril),110707,106624,215280,2008-10-03,19:15:00,2008-10-03,20:04:00,,,Populares,PT13020407,0.0,0.03,0.0,0.03,0.03,0,0,0,1,0,0,,,,,38.8444686,-9.206289225745532
2008,RO2081992,Florestal,Lisboa,Cascais,Cascais,R DAS PAPOILAS BIRRE (CASCAIS),110503,87837,193108,2008-10-04,14:40:00,2008-10-04,15:05:00,2008-10-04,14:51:00,Outros,PT13020203,0.0,0.005,0.0,0.005,0.005,0,0,0,1,0,0,,,,,38.71502635,-9.456762952650216
2008,RO2081985,Florestal,Lisboa,Arruda dos Vinhos,Arranhó,LOURICEIRA DE CIMA,110201,114624,223910,2008-10-04,13:14:00,2008-10-04,15:40:00,2008-10-04,13:40:00,Populares,PT13010301,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,,,620.0,Desconhecida,38.95337155,-9.134980363016528
2008,RO2081997,Florestal,Lisboa,Mafra,Igreja Nova,Carvalhal,110908,93581,215834,2008-10-04,14:56:00,2008-10-04,20:26:00,2008-10-04,15:25:00,Populares,PT13010808,0.0,4.9,0.0,4.9,4.9,0,0,0,0,1,0,,,610.0,Desconhecida,38.9527351,-9.292900922890908
2008,RO2082596,Florestal,Lisboa,Cascais,Alcabideche,JUNTO AUTODROMO DO ESTORIL (ALCABIDECHE),110501,88987,196963,2008-10-29,17:53:00,2008-10-29,18:30:00,2008-10-29,18:00:00,Populares,PT13020201,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,38.73146925,-9.410701803202649
2008,RO2082016,Florestal,Lisboa,Arruda dos Vinhos,Arruda dos Vinhos,LAPAO (ARRUDA DOS VINHOS),110202,118232,224561,2008-10-04,18:29:00,2008-10-04,19:14:00,2008-10-04,18:38:00,Populares,PT13010302,0.0,0.005,0.0,0.005,0.005,0,0,0,1,0,0,,,,,38.99119885,-9.062929029605822
2008,RO2082600,Florestal,Lisboa,Sobral de Monte Agraço,Sapataria,Moitelas,111202,108635,224387,2008-10-29,18:50:00,2008-10-29,20:18:00,2008-10-29,19:01:00,Populares,PT13011202,0.0,0.5,0.0,0.5,0.5,0,0,0,1,0,0,,,,,38.9823187,-9.187549
2008,RO2082030,Florestal,Lisboa,Vila Franca de Xira,Vialonga,CASAL DOS ESTANQUES (Casal Bandarra),111408,125518,226195,2008-10-04,22:40:00,2008-10-04,23:26:00,2008-10-04,22:45:00,Populares,PT13020708,0.0,0.007,0.0,0.007,0.007,0,0,0,1,0,0,,,,,38.8735511,-9.0785504
2008,RO2082623,Florestal,Lisboa,Sintra,Almargem do Bispo,ESTRADA DE CAMARÕES PARA ARUIL (Quinta da Estrada),111103,90857,199539,2008-11-03,14:56:00,2008-11-03,16:11:00,2008-11-03,15:20:00,Populares,PT13020603,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,SINTRA-CASCAIS,,,38.8491202,-9.264334778649603
2008,RO208204,Florestal,Lisboa,Cascais,São Domingos de Rana,JUNTO DA FEIRA DE CARCAVELOS (SÃO DOMINGOS DE RANA),110506,94965,193409,2008-04-02,16:15:00,2008-04-02,16:58:00,2008-04-02,16:29:00,Populares,PT13020206,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,38.7039067,-9.3459911
2008,RO2082648,Florestal,Lisboa,Sintra,Algueirão-Mem Martins,Bº DA COPALM - R DR COUTINHO PAIS (Algueirão-Mem Martins),111102,94829,204515,2008-11-10,11:11:00,2008-11-10,14:05:00,2008-11-10,11:20:00,Outros,PT13020602,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,38.7977037,-9.341033451942735
2008,RO2082046,Florestal,Lisboa,ODIVELAS,Caneças,Casais da Serra,111601,106797,202142,2008-10-05,13:59:00,2008-10-05,19:43:00,,,117,PT13020801,2.0,0.0,0.0,2.0,2.0,0,0,0,0,1,0,,,,,38.8165498,-9.221342021551935
2008,RO2082049,Florestal,Lisboa,Vila Franca de Xira,Calhandriz,CALHANDRIZ - JNT MARCO GEODESICO (CALHANDRIZ),111404,119035,217891,2008-10-05,14:23:00,2008-10-05,16:20:00,,,Populares,PT13020704,0.0,0.5,0.0,0.5,0.5,0,0,0,1,0,0,,,,,38.93339255,-9.066312356864277
2008,RO208265,Florestal,Lisboa,Loures,Prior Velho,QUINTA DA SERRA - R PRINCIPAL (Quinta da Abelheira),110723,113678,211868,2008-06-07,21:28:00,2008-06-07,21:58:00,2008-06-07,21:35:00,Populares,PT13020423,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,,,38.7915641,-9.121544
2008,RO2082697,Florestal,Lisboa,Mafra,Mafra,QTA DAS PEVIDES (Quinta das Pevides),110909,93738,220535,2008-11-16,15:55:00,2008-11-16,17:22:00,2008-11-16,16:03:00,Populares,PT13010809,0.0,0.03,0.0,0.03,0.03,0,0,0,1,0,0,,,,,38.9451854,-9.3578143
2008,RO2082052,Florestal,Lisboa,Loures,Santo António Dos Cavaleiros,STO ANTONIO CAVALEIROS - R FERNAO MENDES PINTO (Santo António dos Cavaleiros),110724,110525,205767,2008-10-05,15:59:00,2008-10-05,16:26:00,2008-10-05,16:10:00,Populares,PT13020424,0.0,0.005,0.0,0.005,0.005,0,0,0,1,0,0,,,,,38.8110049,-9.168907984969817
2008,RO2082655,Florestal,Lisboa,Cascais,Alcabideche,ADROANA - RECINTO FEIRA (Adroana),110501,91150,197873,2008-11-11,21:05:00,2008-11-11,22:47:00,2008-11-11,21:14:00,Populares,PT13020201,0.0,0.015,0.0,0.015,0.015,0,0,0,1,0,0,,,,,38.73995235,-9.376103208986038
